credibility_score,credibility_vs_reconstructed_delta,error,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
76.31,-6.0812,,79,87,high,45,30.54,211,124,True,low,Human-generated content likely.,1.34,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 80.0. | Evidence-quality penalty score: 30.54.,82.39,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/reel/DVfVE6ritM1/,3.6648,0.0,5.304,2.4,17.6088,6.24
77.04,-6.256,,0,546,high,45,23.0,591,45,True,low,Human-generated content likely.,5.1,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 80.0. | Evidence-quality penalty score: 23.0.,83.3,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/reel/DTvWvaFj3TP/,2.76,0.0,5.304,2.4,16.704,6.24
63.3,-11.9808,,0,17,low,4,59.77,21,4,True,low,Human-generated content likely.,1.28,0.0,20.32,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.52. | Evidence-quality penalty score: 59.77.,75.28,10.0,0.52,not_enough_evidence,68.65,https://www.instagram.com/reel/DVQUiv8Eoev/,7.1724,0.0,6.9088,2.4,24.7192,8.238
,,curl: (56) Recv failure: Connection reset by peer,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/reel/DVbGD6xjyV5/,,,,,,
67.34,-10.3956,,3,15,medium,31,55.46,49,34,True,low,Human-generated content likely.,1.3,0.0,18.08,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 59.62. | Evidence-quality penalty score: 55.46.,77.74,10.0,0.52,not_enough_evidence,58.85,https://www.instagram.com/reel/DVfKxw0EvFV/,6.6552,0.0,6.1472,2.4,22.2644,7.062
,,curl: (56) Recv failure: Connection reset by peer,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/reel/DRR5RDuDC4f/,,,,,,
63.53,-12.0136,,0,1,low,23,59.31,24,23,True,low,Human-generated content likely.,1.28,0.0,20.08,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.98. | Evidence-quality penalty score: 59.31.,75.54,10.0,0.52,not_enough_evidence,67.6,https://www.tiktok.com/@realjayllnn/video/7586112300378033422,7.1172,0.0,6.8272,2.4,24.4564,8.112
63.11,-14.9664,,0,70,medium,0,64.23,70,0,True,low,Human-generated content likely.,1.28,0.0,16.4,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 42.59. | Evidence-quality penalty score: 64.23.,78.08,10.0,0.52,not_enough_evidence,52.0,https://www.tiktok.com/@reuters/video/7589372207017626894,7.7076,0.0,5.576,2.4,21.9236,6.24
66.33,-11.9312,,0,17,medium,38,54.54,55,38,True,low,Human-generated content likely.,1.29,0.0,17.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 54.56. | Evidence-quality penalty score: 54.54.,78.26,10.0,0.52,not_enough_evidence,56.75,https://www.tiktok.com/@crashadamsbackup/video/7584700981921778974,6.5448,0.0,5.984,2.4,21.7388,6.81
63.69,-12.0292,,0,7,low,19,59.0,26,19,True,low,Human-generated content likely.,1.28,0.0,19.92,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 49.29. | Evidence-quality penalty score: 59.0.,75.72,10.0,0.52,not_enough_evidence,66.9,https://www.tiktok.com/@nfl/video/7604678425932074254,7.08,0.0,6.7728,2.4,24.2808,8.028
