credibility_score,credibility_vs_reconstructed_delta,error,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
70.12,-10.4436,,0,106,medium,0,45.77,112,6,True,low,Human-generated content likely.,1.31,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 63.42. | Evidence-quality penalty score: 45.77.,80.56,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/reel/DVQUiv8Eoev/?igsh=NjFhOGMzYTE3ZQ==,5.4924,0.0,5.304,2.4,19.4364,6.24
77.04,-6.256,,0,607,high,0,23.0,614,7,True,low,Human-generated content likely.,1.35,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 80.0. | Evidence-quality penalty score: 23.0.,83.3,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/reel/DTvWvaFj3TP/?igsh=NjFhOGMzYTE3ZQ==,2.76,0.0,5.304,2.4,16.704,6.24
68.62,-11.4456,,0,79,medium,0,49.92,85,6,True,low,Human-generated content likely.,1.3,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 59.22. | Evidence-quality penalty score: 49.92.,80.07,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/reel/DVfVE6ritM1/?igsh=NjFhOGMzYTE3ZQ==,5.9904,0.0,5.304,2.4,19.9344,6.24
62.37,-13.262,,0,17,low,0,59.15,25,8,True,low,Human-generated content likely.,1.27,0.0,20.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 43.89. | Evidence-quality penalty score: 59.15.,75.63,10.0,0.52,not_enough_evidence,67.25,https://www.instagram.com/reel/DVfKxw0EvFV/?igsh=NjFhOGMzYTE3ZQ==,7.098,0.0,6.8,2.4,24.368,8.07
66.51,-11.9268,,0,51,medium,0,54.23,57,6,True,low,Human-generated content likely.,1.29,0.0,17.44,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 54.87. | Evidence-quality penalty score: 54.23.,78.44,10.0,0.52,not_enough_evidence,56.05,https://www.instagram.com/reel/DVY4hI-iUFi/?igsh=NjFhOGMzYTE3ZQ==,6.5076,0.0,5.9296,2.4,21.5632,6.726
72.75,-8.1088,,0,122,high,0,43.31,128,6,True,low,Human-generated content likely.,1.32,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 71.91. | Evidence-quality penalty score: 43.31.,80.86,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/reel/DVbGD6xjyV5/?igsh=NjFhOGMzYTE3ZQ==,5.1972,0.0,5.304,2.4,19.1412,6.24
,,curl: (28) Operation timed out after 300002 milliseconds with 885 out of 2554 bytes received,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/reel/DTFQWpBjZh1/?igsh=NjFhOGMzYTE3ZQ==,,,,,,
68.07,-11.72,,0,35,medium,0,51.31,76,41,True,low,Human-generated content likely.,1.3,0.0,15.92,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 57.82. | Evidence-quality penalty score: 51.31.,79.79,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/p/DVgpFKhADCV/?igsh=NjFhOGMzYTE3ZQ==,6.1572,0.0,5.4128,2.4,20.21,6.24
63.45,-13.4088,,0,33,low,0,57.0,39,6,True,low,Human-generated content likely.,1.28,0.0,18.88,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 46.07. | Evidence-quality penalty score: 57.0.,76.86,10.0,0.52,not_enough_evidence,62.35,https://www.instagram.com/reel/DRR5RDuDC4f/?igsh=NjFhOGMzYTE3ZQ==,6.84,0.0,6.4192,2.4,23.1412,7.482
68.35,-11.6232,,0,74,medium,0,50.69,80,6,True,low,Human-generated content likely.,21.68,0.0,15.6,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 58.44. | Evidence-quality penalty score: 50.69.,79.97,10.0,0.52,not_enough_evidence,52.0,https://www.instagram.com/reel/DVgQmytD5dX/?igsh=NjFhOGMzYTE3ZQ==,6.0828,0.0,5.304,2.4,20.0268,6.24
