credibility_score,credibility_vs_reconstructed_delta,error,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
53.0,-17.7952,,0,15,low,0,93.69,15,0,True,low,Human-generated content likely.,1.07,0.0,20.8,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Mr DegrEE). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,70.8,10.0,0.28,not_enough_evidence,70.75,https://www.youtube.com/shorts/yvr4U1sF1P0,11.2428,0.0,7.072,2.4,29.2048,8.49
53.14,-18.0052,,0,19,low,0,93.08,19,0,True,low,Human-generated content likely.,1.07,0.0,20.48,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Hungry Rover). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.15,10.0,0.28,not_enough_evidence,69.35,https://www.youtube.com/shorts/AlmK64-o8d4,11.1696,0.0,6.9632,2.4,28.8548,8.322
53.04,-17.8424,,0,16,low,0,93.54,16,0,True,low,Human-generated content likely.,1.07,0.0,20.72,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: MisterMeow). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,70.88,10.0,0.28,not_enough_evidence,70.4,https://www.youtube.com/shorts/zvdE9auP_mU,11.2248,0.0,7.0448,2.4,29.1176,8.448
54.85,-17.1264,,0,23,low,0,88.46,23,0,True,low,Human-generated content likely.,1.08,0.0,20.16,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Fox Business). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.98,10.0,0.28,not_enough_evidence,67.95,https://www.youtube.com/shorts/khNmtBfsRZU,10.6152,0.0,6.8544,2.4,28.0236,8.154
53.04,-17.8424,,0,16,low,0,93.54,16,0,True,low,Human-generated content likely.,1.07,0.0,20.72,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Kyle Istook). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,70.88,10.0,0.28,not_enough_evidence,70.4,https://www.youtube.com/shorts/I5eLBRSbHzQ,11.2248,0.0,7.0448,2.4,29.1176,8.448
53.11,-17.948,,0,18,low,0,93.23,18,0,True,low,Human-generated content likely.,1.07,0.0,20.56,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: magice 23). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.06,10.0,0.28,not_enough_evidence,69.7,https://www.youtube.com/shorts/hSQXC8h5k0s,11.1876,0.0,6.9904,2.4,28.942,8.364
53.04,-17.8424,,0,16,low,0,93.54,16,0,True,low,Human-generated content likely.,1.07,0.0,20.72,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Pawsome Pets). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,70.88,10.0,0.28,not_enough_evidence,70.4,https://www.youtube.com/shorts/-OPh-6jRxjU,11.2248,0.0,7.0448,2.4,29.1176,8.448
54.81,-17.078,,0,22,low,0,88.62,22,0,True,low,Human-generated content likely.,1.08,0.0,20.24,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Code Brew Labs). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.89,10.0,0.28,not_enough_evidence,68.3,https://www.youtube.com/shorts/Wx09p4SrkV0,10.6344,0.0,6.8816,2.4,28.112,8.196
53.0,-17.7952,,0,15,low,0,93.69,15,0,True,low,Human-generated content likely.,1.07,0.0,20.8,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Flip express). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,70.8,10.0,0.28,not_enough_evidence,70.75,https://www.youtube.com/shorts/dgQJ2ZXWJoI,11.2428,0.0,7.072,2.4,29.2048,8.49
53.11,-17.948,,0,18,low,0,93.23,18,0,True,low,Human-generated content likely.,1.07,0.0,20.56,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Farjana Drawing Academy). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.06,10.0,0.28,not_enough_evidence,69.7,https://www.youtube.com/shorts/0akGEg6cZfY,11.1876,0.0,6.9904,2.4,28.942,8.364
54.72,-16.9936,,0,20,low,0,88.92,20,0,True,low,Human-generated content likely.,1.08,0.0,20.4,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Fox Business). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.71,10.0,0.28,not_enough_evidence,69.0,https://www.youtube.com/shorts/1uXL92AF5K8,10.6704,0.0,6.936,2.4,28.2864,8.28
53.11,-17.948,,0,18,low,0,93.23,18,0,True,low,Human-generated content likely.,1.07,0.0,20.56,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: ProfitForge). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.06,10.0,0.28,not_enough_evidence,69.7,https://www.youtube.com/shorts/7uXS7A1wDbI,11.1876,0.0,6.9904,2.4,28.942,8.364
55.12,-17.382,,0,29,low,0,87.54,29,0,True,low,Human-generated content likely.,1.08,0.0,19.68,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: CNBC Awaaz.). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,72.5,10.0,0.28,not_enough_evidence,65.85,https://www.youtube.com/shorts/0NNvgvQeFFE,10.5048,0.0,6.6912,2.4,27.498,7.902
54.72,-16.9936,,0,20,low,0,88.92,20,0,True,low,Human-generated content likely.,1.08,0.0,20.4,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Scoreplus Finance). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.71,10.0,0.28,not_enough_evidence,69.0,https://www.youtube.com/shorts/mPFKpBz8SN8,10.6704,0.0,6.936,2.4,28.2864,8.28
53.11,-17.948,,0,18,low,0,93.23,18,0,True,low,Human-generated content likely.,1.07,0.0,20.56,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Valuetainment Comedy). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.06,10.0,0.28,not_enough_evidence,69.7,https://www.youtube.com/shorts/2tPLJ1gsLvU,11.1876,0.0,6.9904,2.4,28.942,8.364
55.26,-17.5048,,0,32,low,0,87.08,32,0,True,low,Human-generated content likely.,1.08,0.0,19.44,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Zee News). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,72.76,10.0,0.28,not_enough_evidence,64.8,https://www.youtube.com/shorts/RdxoWcj2OXI,10.4496,0.0,6.6096,2.4,27.2352,7.776
52.97,-17.7368,,0,14,low,0,93.85,14,0,True,low,Human-generated content likely.,1.07,0.0,20.88,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Jay Shetty). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,70.71,10.0,0.28,not_enough_evidence,71.1,https://www.youtube.com/shorts/_XCZX_NaDtU,11.262,0.0,7.0992,2.4,29.2932,8.532
54.72,-16.9936,,0,20,low,0,88.92,20,0,True,low,Human-generated content likely.,1.08,0.0,20.4,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: ShannyPOP). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.71,10.0,0.28,not_enough_evidence,69.0,https://www.youtube.com/shorts/1z9ksiXNeFA,10.6704,0.0,6.936,2.4,28.2864,8.28
54.85,-17.1264,,0,23,low,0,88.46,23,0,True,low,Human-generated content likely.,1.08,0.0,20.16,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Mike the Credit Guy). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.98,10.0,0.28,not_enough_evidence,67.95,https://www.youtube.com/shorts/pK90OdintQE,10.6152,0.0,6.8544,2.4,28.0236,8.154
53.07,-17.9008,,0,17,low,0,93.38,17,0,True,low,Human-generated content likely.,1.07,0.0,20.64,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Useless Facts). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,70.97,10.0,0.28,not_enough_evidence,70.05,https://www.youtube.com/shorts/wUs9xoRRG-w,11.2056,0.0,7.0176,2.4,29.0292,8.406
54.72,-16.9936,,0,20,low,0,88.92,20,0,True,low,Human-generated content likely.,1.08,0.0,20.4,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Deeper Lines). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,71.71,10.0,0.28,not_enough_evidence,69.0,https://www.youtube.com/shorts/ngLglRVaa4w,10.6704,0.0,6.936,2.4,28.2864,8.28
57.23,-12.738,,0,22,low,0,71.62,22,0,True,medium,Origin uncertain (mixed AI/human signals).,69.05,22.0,20.24,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Coffee & Pages). | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,69.97,10.0,0.62,not_enough_evidence,68.3,https://www.youtube.com/shorts/CEvJ_RuwMKo,8.5944,3.96,6.8816,2.4,30.032,8.196
