caption_chars,credibility_score,error,error_category,generation_origin,generation_origin_score,ingest_notes,job_id,status,top_claim_status,transcript_chars,url
142,67.77,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: justify). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,e975e8210b4e4c58a09b9b725388a3ce,completed,not_enough_evidence,0,https://youtube.com/shorts/-grOHmo_pLU?si=QAmSkIRZbgYFBsgC
130,69.78,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Isaac & Andrea). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,d6e8311578d34f66ae8fa831e148e47a,completed,not_enough_evidence,32,https://youtube.com/shorts/3d05ZaTWzZA?si=EvlNm4d7Rrhad5Mk
150,67.66,,ingest:no_transcript_subtitles_unavailable,low,1.62,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: NickandCarrie). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,691c6eeaf88d4fb691b29330b09246e9,completed,not_enough_evidence,0,https://youtube.com/shorts/AshSzm7z0e8?si=YiH-WSZ8L_Mn_wP3
197,66.85,,ingest:metadata_fallback_used,low,34.34,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Aayra Editzz). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,a4145cff1b0c46d79058f61696a4f21b,completed,not_enough_evidence,25,https://youtube.com/shorts/Dzm57z_bqrI?si=QvnBEZXxbmfjpysB
125,67.35,,ingest:no_transcript_subtitles_unavailable,low,1.37,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Jordi). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,c070f885f95e4d068f2932cee944fd00,completed,not_enough_evidence,0,https://youtube.com/shorts/EcIwW_PB0rg?si=0sx5iikbj5qF_3m_
120,67.35,,ingest:no_transcript_subtitles_unavailable,low,1.37,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Luke Davidson). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,99133adbceb1428886b93cf940cd9aca,completed,not_enough_evidence,0,https://youtube.com/shorts/IQ14AVePD_g?si=LOQA_-X4NijmtlQC
151,67.46,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Caro Kowanz English). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,bb246514c07a444abe44bd26cf49f5c9,completed,not_enough_evidence,0,https://youtube.com/shorts/KOGykUx8RiQ?si=8y88ewU0dijgdDmj
146,70.29,,ingest:metadata_fallback_used,low,1.39,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: JCPenney). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,71a2b122f625487cb5df715483b36e20,completed,not_enough_evidence,30,https://youtube.com/shorts/Om9OXKd9ako?si=al9vwwsieHDcCf34
137,67.66,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Luke Davidson). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,fc64e7f24097474a887b9414a39c706b,completed,not_enough_evidence,0,https://youtube.com/shorts/RiOqgmmcSvc?si=35LbpmK8KbOlbhCz
192,68.08,,ingest:no_transcript_subtitles_unavailable,low,1.38,Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: RJ Ashish Sharma). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback). | Source-check: low alignment with trusted sources (0/1 claims matched).,c0b40a49f02042a49d8566445aa3d2e1,completed,not_enough_evidence,0,https://youtube.com/shorts/Rq-KGMoqLeU?si=jMClpyRyoFFFUosO
