analysis_confidence,credibility_score,evidence_level,evidence_quality_score,evidence_total_tokens,generation_origin_score,manipulation_score,misinformation_score,notes,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url
15.83,55.3,low,86.92,33,1.08,0.0,19.36,Auto-ingested YouTube metadata from channel: Mr DegrEE. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate.,10.0,0.28,not_enough_evidence,64.45,https://www.youtube.com/shorts/yvr4U1sF1P0
70.7,78.05,high,35.77,216,1.59,0.0,6.5,Auto-ingested YouTube metadata from channel: Hungry Rover. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 70.7.,10.0,0.55,supported,18.8,https://www.youtube.com/shorts/AlmK64-o8d4
50.08,69.25,medium,55.77,86,1.54,0.0,6.5,Auto-ingested YouTube metadata from channel: MisterMeow. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 50.08.,10.0,0.55,supported,18.8,https://www.youtube.com/shorts/zvdE9auP_mU
68.99,76.82,high,43.0,169,1.58,0.0,6.5,Auto-ingested YouTube metadata from channel: Fox Business. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 68.99.,10.0,0.55,supported,18.8,https://www.youtube.com/shorts/khNmtBfsRZU
5.49,53.04,low,93.54,16,1.07,0.0,20.72,Auto-ingested YouTube metadata from channel: Kyle Istook. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate.,10.0,0.28,not_enough_evidence,70.4,https://www.youtube.com/shorts/I5eLBRSbHzQ
14.59,54.94,low,88.15,25,1.08,0.0,20.0,Auto-ingested YouTube metadata from channel: magice 23. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate.,10.0,0.28,not_enough_evidence,67.25,https://www.youtube.com/shorts/hSQXC8h5k0s
13.97,54.77,low,88.77,21,1.08,0.0,20.32,Auto-ingested YouTube metadata from channel: Pawsome Pets. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate.,10.0,0.28,not_enough_evidence,68.65,https://www.youtube.com/shorts/-OPh-6jRxjU
45.41,67.39,medium,60.38,56,1.53,0.0,6.5,Auto-ingested YouTube metadata from channel: Code Brew Labs. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 45.41.,10.0,0.55,supported,18.8,https://www.youtube.com/shorts/Wx09p4SrkV0
13.81,54.72,low,88.92,20,1.08,0.0,20.4,Auto-ingested YouTube metadata from channel: Flip express. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate.,10.0,0.28,not_enough_evidence,69.0,https://www.youtube.com/shorts/dgQJ2ZXWJoI
13.81,54.72,low,88.92,20,1.08,0.0,20.4,Auto-ingested YouTube metadata from channel: Farjana Drawing Academy. | Could not fetch YouTube transcript (disabled/unavailable). | Skipped heavy ASR/OCR/browser ingestion on API node to keep memory usage stable. | Added thumbnail metadata signals (open-source fallback). | Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate.,10.0,0.28,not_enough_evidence,69.0,https://www.youtube.com/shorts/0akGEg6cZfY
