after_credibility_score,after_evidence_asr_tokens,after_evidence_caption_tokens,after_evidence_ocr_tokens,after_evidence_total_tokens,after_evidence_transcript_tokens,after_notes,before_credibility_score,before_evidence_asr_tokens,before_evidence_caption_tokens,before_evidence_ocr_tokens,before_evidence_total_tokens,before_evidence_transcript_tokens,before_notes,delta_credibility_score,delta_evidence_asr_tokens,delta_evidence_caption_tokens,delta_evidence_ocr_tokens,delta_evidence_total_tokens,delta_evidence_transcript_tokens,url
80.49,0.0,33.0,18.0,51.0,18.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 73.93. | Evidence-quality penalty score: 32.15. | Extracted evidence token count: 51.,,,,,,,,,,,,,,https://www.instagram.com/reel/DRR5RDuDC4f/
95.33,0.0,536.0,34.0,570.0,34.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 100.0. | Evidence-quality penalty score: 0.0. | Extracted evidence token count: 570.,77.04,0.0,546.0,45.0,591.0,45.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 80.0. | Evidence-quality penalty score: 23.0.,18.29,0.0,-10.0,-11.0,-21.0,-11.0,https://www.instagram.com/reel/DTvWvaFj3TP/
63.3,0.0,17.0,4.0,21.0,4.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.52. | Evidence-quality penalty score: 59.77.,63.3,0.0,17.0,4.0,21.0,4.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.52. | Evidence-quality penalty score: 59.77.,0.0,0.0,0.0,0.0,0.0,0.0,https://www.instagram.com/reel/DVQUiv8Eoev/
85.76,120.0,55.0,46.0,232.0,177.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 100.0. | Evidence-quality penalty score: 4.31. | Extracted evidence token count: 232.,,,,,,,,,,,,,,https://www.instagram.com/reel/DVbGD6xjyV5/
82.38,5.0,20.0,34.0,59.0,39.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 81.18. | Evidence-quality penalty score: 30.92. | Extracted evidence token count: 59.,67.34,3.0,15.0,31.0,49.0,34.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 59.62. | Evidence-quality penalty score: 55.46.,15.04,2.0,5.0,3.0,10.0,5.0,https://www.instagram.com/reel/DVfKxw0EvFV/
91.93,79.0,75.0,41.0,195.0,120.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 100.0. | Evidence-quality penalty score: 10.0. | Extracted evidence token count: 195.,76.31,79.0,87.0,45.0,211.0,124.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 80.0. | Evidence-quality penalty score: 30.54.,15.62,0.0,-12.0,-4.0,-16.0,-4.0,https://www.instagram.com/reel/DVfVE6ritM1/
52.66,0.0,2.0,0.0,2.0,0.0,Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.31. | Evidence-quality penalty score: 95.69. | Extracted evidence token count: 2. | Final score was blended toward a neutral baseline because evidence confidence is limited.,63.85,0.0,2.0,26.0,28.0,26.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 49.61. | Evidence-quality penalty score: 58.69.,-11.19,0.0,0.0,-26.0,-26.0,-26.0,https://www.tiktok.com/@brookemonk_/video/7603118297403378975
79.27,0.0,17.0,30.0,47.0,30.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 73.31. | Evidence-quality penalty score: 32.77. | Extracted evidence token count: 47.,66.33,0.0,17.0,38.0,55.0,38.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 54.56. | Evidence-quality penalty score: 54.54.,12.94,0.0,0.0,-8.0,-8.0,-8.0,https://www.tiktok.com/@crashadamsbackup/video/7584700981921778974
85.01,0.0,7.0,94.0,101.0,94.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 81.71. | Evidence-quality penalty score: 24.46. | Extracted evidence token count: 101.,63.69,0.0,7.0,19.0,26.0,19.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 49.29. | Evidence-quality penalty score: 59.0.,21.32,0.0,0.0,75.0,75.0,75.0,https://www.tiktok.com/@nfl/video/7604678425932074254
63.53,0.0,1.0,23.0,24.0,23.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.98. | Evidence-quality penalty score: 59.31.,63.53,0.0,1.0,23.0,24.0,23.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.98. | Evidence-quality penalty score: 59.31.,0.0,0.0,0.0,0.0,0.0,0.0,https://www.tiktok.com/@realjayllnn/video/7586112300378033422
,,,,,,,63.11,0.0,70.0,0.0,70.0,0.0,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | Claim verification used open-source evidence heuristics. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 42.59. | Evidence-quality penalty score: 64.23.,,,,,,,https://www.tiktok.com/@reuters/video/7589372207017626894
