credibility_score,credibility_vs_reconstructed_delta,evidence_asr_tokens,evidence_caption_tokens,evidence_level,evidence_ocr_tokens,evidence_quality_score,evidence_total_tokens,evidence_transcript_tokens,generation_origin_excluded_from_credibility,generation_origin_level,generation_origin_rationale,generation_origin_score,manipulation_score,misinformation_score,notes,reconstructed_credibility_score,scam_score,top_claim_confidence,top_claim_status,uncertainty_score,url,weighted_evidence_quality_penalty,weighted_manipulation_penalty,weighted_misinformation_penalty,weighted_scam_penalty,weighted_total_penalty,weighted_uncertainty_penalty
91.93,-0.004,79,75,high,41,10.0,195,120,True,low,Human-generated content likely.,1.67,0.0,6.5,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 100.0. | Evidence-quality penalty score: 10.0. | Extracted evidence token count: 195.,91.93,10.0,0.55,supported,18.8,https://www.instagram.com/reel/DVfVE6ritM1/,1.2,0.0,2.21,2.4,8.066,2.256
95.33,-0.002,0,536,high,34,0.0,570,34,True,low,Human-generated content likely.,2.07,0.0,3.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 100.0. | Evidence-quality penalty score: 0.0. | Extracted evidence token count: 570.,95.33,10.0,0.9,supported,10.4,https://www.instagram.com/reel/DTvWvaFj3TP/,0.0,0.0,1.02,2.4,4.668,1.248
63.3,-11.9808,0,17,low,4,59.77,21,4,True,low,Human-generated content likely.,1.28,0.0,20.32,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.52. | Evidence-quality penalty score: 59.77.,75.28,10.0,0.52,not_enough_evidence,68.65,https://www.instagram.com/reel/DVQUiv8Eoev/,7.1724,0.0,6.9088,2.4,24.7192,8.238
85.76,-0.0044,120,55,high,46,4.31,232,177,True,high,AI-generated content likely.,81.66,44.0,4.8,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 100.0. | Evidence-quality penalty score: 4.31. | Extracted evidence token count: 232.,85.76,10.0,0.72,supported,14.72,https://www.instagram.com/reel/DVbGD6xjyV5/,0.5172,7.92,1.632,2.4,14.2356,1.7664
82.38,-7.0436,5,20,medium,34,30.92,59,39,True,low,Human-generated content likely.,1.62,0.0,6.5,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 81.18. | Evidence-quality penalty score: 30.92. | Extracted evidence token count: 59.,89.42,10.0,0.55,supported,18.8,https://www.instagram.com/reel/DVfKxw0EvFV/,3.7104,0.0,2.21,2.4,10.5764,2.256
80.49,-10.042,0,33,medium,18,32.15,51,18,True,low,Human-generated content likely.,1.8,0.0,4.5,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 73.93. | Evidence-quality penalty score: 32.15. | Extracted evidence token count: 51.,90.53,10.0,0.75,supported,14.0,https://www.instagram.com/reel/DRR5RDuDC4f/,3.858,0.0,1.53,2.4,9.468,1.68
63.53,-12.0136,0,1,low,23,59.31,24,23,True,low,Human-generated content likely.,1.28,0.0,20.08,Applied sparse-text score calibration to reduce flat scoring under limited extracted evidence. | Generation origin score calibrated by trained logistic model. | OpenAI claim verification skipped because extracted evidence was too thin; using heuristics. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 48.98. | Evidence-quality penalty score: 59.31.,75.54,10.0,0.52,not_enough_evidence,67.6,https://www.tiktok.com/@realjayllnn/video/7586112300378033422,7.1172,0.0,6.8272,2.4,24.4564,8.112
,,,,,,,,,True,,,,,,,,,,,,https://www.tiktok.com/@reuters/video/7589372207017626894,,,,,,
79.27,-9.9316,0,17,medium,30,32.77,47,30,True,low,Human-generated content likely.,1.6,0.0,6.5,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 73.31. | Evidence-quality penalty score: 32.77. | Extracted evidence token count: 47.,89.2,10.0,0.55,supported,18.8,https://www.tiktok.com/@crashadamsbackup/video/7584700981921778974,3.9324,0.0,2.21,2.4,10.7984,2.256
85.01,-7.3868,0,7,medium,94,24.46,101,94,True,low,Human-generated content likely.,2.0,0.0,3.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 81.71. | Evidence-quality penalty score: 24.46. | Extracted evidence token count: 101.,92.4,10.0,0.9,supported,10.4,https://www.tiktok.com/@nfl/video/7604678425932074254,2.9352,0.0,1.02,2.4,7.6032,1.248
52.66,-19.1772,0,2,low,0,95.69,2,0,True,low,Human-generated content likely.,1.41,0.0,18.0,Generation origin score calibrated by trained logistic model. | Sparse extracted text; not_enough_evidence may remain appropriate. | Analysis-confidence score: 3.31. | Evidence-quality penalty score: 95.69. | Extracted evidence token count: 2. | Final score was blended toward a neutral baseline because evidence confidence is limited.,71.84,10.0,,,68.0,https://www.tiktok.com/@brookemonk_/video/7603118297403378975,11.4828,0.0,6.12,2.4,28.1628,8.16
75.45,-14.7868,0,62,medium,0,42.46,62,0,True,low,Human-generated content likely.,1.93,0.0,3.0,Generation origin score calibrated by trained logistic model. | Claim verification attempted via OpenAI with heuristic fallback. | Rich text context detected (transcript/OCR); thresholds tuned to reduce unnecessary not_enough_evidence. | Analysis-confidence score: 61.34. | Evidence-quality penalty score: 42.46. | Extracted evidence token count: 62.,90.24,10.0,0.9,supported,10.4,https://www.tiktok.com/@tisipbign1/video/7596058593103744263,5.0952,0.0,1.02,2.4,9.7632,1.248
