credibility_score,generation_origin_level,generation_origin_rationale,generation_origin_score,notes,top_claim_confidence,top_claim_status,url
68.39,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: First Love Yourself). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/USQvEyx-dzo?si=TFct5Y9hVsSJQRcB
68.08,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Ruby's Creation). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/-fxP8NSln68?si=nkVRCEvx6imU7W5b
71.02,low,Human-generated content likely.,1.32,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Jay- Shri -Ram 🥰👈). | Could not fetch YouTube transcript (disabled/unavailable). | Recovered on-screen text using frame OCR fallback. | Using deterministic YouTube thumbnail URL fallback for visual metadata checks.,0.52,not_enough_evidence,https://youtube.com/shorts/2q9k7H196gE?si=A6TgH7BzXkIffO5F
68.29,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: ArtiscticNeha15🌷). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/_GXCCBMWW5E?si=fS_TVIhbQASB2sZL
67.25,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Roopam). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/cST_ET-GPq0?si=EZ3faK028Dw4U613
67.56,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: ClayVeins). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/2rlloLdR5ik?si=fHkbQZ1N7m3MqXfq
67.77,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: TIGER EDITZ). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/Rjbn7uRa_1s?si=Ms_44-0uvIUada8g
67.46,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: YimaCreations). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/5RCyvueGuIQ?si=C0HPlQbbMzTKIihr
68.29,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: DECORATIVE ARTS). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/cgHSIFd4oA0?si=2G0NiytMe8AQyMxu
67.87,low,Human-generated content likely.,1.3,Normalized input URL to canonical format before analysis. | Could not fetch YouTube metadata via yt-dlp. | Recovered metadata from YouTube oEmbed (author: Nurgül Kotan). | Could not fetch YouTube transcript (disabled/unavailable). | Using deterministic YouTube thumbnail URL fallback for visual metadata checks. | Added thumbnail metadata signals (open-source fallback).,0.52,not_enough_evidence,https://youtube.com/shorts/E2sacsks4Ns?si=lzjQbXmacbn0VyaV
